Id_date,IdMuestra,Rango fiabilidad
1,Beta-391058,3
2,Beta-468988,2
3,Beta-468994,1
4,Beta-510710,2
5,Beta-510718,2
6,SacA-500016,2
7,SacA-500017,1
8,SacA-500026,2
9,SacA-500345,2
10,SacA-500346,2
11,SacA-500347,2
12,SacA-500348,2
13,SacA-500025,2
14,D-AMS-015878,2
15,D-AMS-015879,2
16,SacA-50002,2
17,SacA-50003,2
18,SacA-50004,2
19,SacA-50005,2
20,SacA-50007,2
21,Beta-510708,2
22,D-AMS-032113,2
23,D-AMS-032114,2
24,D-AMS-032115,2
25,D-AMS-036314,1
26,D-AMS-036315,2
27,Beta-539743,2
28,Beta-561333,1
29,Beta-561334,1
30,Beta-561335,1
31,Beta-565477,1
32,Beta-565478,1
33,D-AMS-037585,2
34,D-AMS-036327,2
35,D-AMS-036328,2
36,D-AMS-036329,2
37,D-AMS-036330,2
38,D-AMS-036331,2
39,D-AMS-036332,2
40,D-AMS-036333,2
41,D-AMS-036334,2
42,D-AMS-036335,2
43,D-AMS-041824,2
44,D-AMS-036319,2
45,D-AMS-036320,2
46,D-AMS-036318,2
47,D-AMS-036316,2
48,D-AMS-037584,2
49,Momia MSA,2
50,D-AMS-036322,2
51,D-AMS-036323,2
52,D-AMS-036324,2
53,D-AMS-036325,2
54,D-AMS-036326,2
55,D-AMS-036336,2
56,D-AMS-032111,2
57,Beta-210781,2
58,Beta-210778,2
59,Beta-210779,2
60,n.d-74,7*
61,n.d-75,1
62,Beta-256481,2
63,n.d-13,1
64,n.d-24,1
65,n.d-35,1
66,n.d-57,7*
67,Beta-129251,2
68,Beta-368410,2
69,Beta-256483,2
70,Beta-256480,2
71,Beta-368411,2
72,Beta-256482,2
73,Beta-368412,2
74,Beta-315249,2
75,Beta-315250,1
76,Beta-216161,2
77,Beta-216162,2
78,Beta-218613,2
79,Beta-315247,2
80,Beta-315248,2 *
81,Beta-346111,1
82,Beta-349001,1
83,Beta-230885,7
84,Beta-237340,7
85,Beta-237341,7
86,Beta-251320,7
87,Beta-251321,7
88,Beta-251322,7
89,Beta-251323,7
90,Beta-445241,7
91,Beta-445242,7
92,Beta-445243,7
93,Beta-172349,3
94,Beta-214123,7
95,Beta-214124,7
96,Beta-214125,7
97,Beta-214126,7
98,Beta-214127,7
99,Beta-214128,7
100,Beta-275164,7
101,Beta-334933,7
102,GrA-2463,3
103,GrA-2464,3
104,GrA-2470,7
105,GrA-2471,7
106,GrA-2472,7
107,GrA-2473,7
108,GrA-2474,7
109,GrA-2475,7
110,GrA-2477,7
111,GrA-2478,7
112,GrA-2479,7
113,GrA-2511,7
114,GrN-15762,7
115,GrN-15804,3
116,GrN-19192,3
117,GrN-19194,3
118,GrN-19195,3
119,UBA-31979,7
120,UBA-31980,7
121,Beta-334945,7
122,Beta-334946,7
123,Beta-172350,7
124,Beta-32663,3
125,Beta-382740,2
126,Beta-382741,2
127,Beta-177041,7
128,Beta-177042,7
129,Beta-207566,7
130,Gro-1127,7
131,Gro-1188,2
132,Gro-1189,7
133,Gro-1190,7
134,Gro-1191,7
135,Gro-1192,7
136,Gro-1872,7
137,GX-23805,7
138,GX-23806,7
139,GX-23807,7
140,GX-23808,7
141,GX-23824,6
142,GX-23825,7
143,GX-23826,6
144,GX-23827,7
145,GX-23828,6
146,Beta-331834,6
147,Beta-331835,6
148,Beta-331837,6
149,Beta-331838,6
150,Beta-510608,2
151,Beta-510610,2
152,Gak-8057,3 *
153,Gak-8055,7 *
154,Gak-8056,6 *
155,Gak-8062,7 *
156,Gak-8063,7 *
157,Gak-8064,7 *
158,Gak-8065,7 *
159,GX-15952,2
160,GX-15953,2
161,GX-15945,2
162,GX-18744,3
163,GX-19697,3
164,GX-15958,7
165,GX-15946,3
166,GX-18745,3
167,Gak-13083,7 *
168,Gak-13084,7 *
169,Gak-13085,7 *
170,Gak-13086,7 *
171,Gak-13087,7 *
172,Gak-13088,7 *
173,Gak-15973,7 *
174,Gak-15974,7 *
175,Gak-15975,7 *
176,Gak-15976,7 *
177,Gak-15977,7 *
178,Gak-15978,7 *
179,Gak-15979,7 *
180,Gak-15980,7 *
181,CSIC-147,7
182,Gak-8066,7 *
183,Gak-8067,7 *
184,GX-15959,7
185,GX-18748,2
186,GX-18743,3
187,GX-15954,2
188,CSIC-187,7
189,CSIC-188,7
190,CSIC-189,7
191,GX-18742,3
192,GrN-12756,7
193,Gak-14598,7 *
194,Gak-14599,7 *
195,Gak-14600,7 *
196,Gak-14601,7 *
197,GX-18746,3
198,GX-19702,3
199,GX-18740,3
200,GX-19693,3
201,GX-18747,3
202,GrN-12755,7
203,GX-19700,3
204,GX-15960,7
205,GX-15961,7
206,GX-18741,3
207,GX-15947,3
208,GX-15948,3
209,GX-15949,3
210,GX-15950,3
211,GX-15951,3
212,GX-15955,3
213,GX-18739,3
214,GrA-26873,7
215,GrA-27418,7
216,GrA-27421,7
217,GrA-27479,7
218,Beta-302465,7
219,Beta-302466,7
220,Beta-302467,7
221,Beta-302468,7
222,Beta-302469,7
223,Beta-306112,7
224,Beta-306113,7
225,Beta-306114,7
226,Beta-306115,7
227,Beta-256343,2
228,Beta-256344,2
229,Beta-256345,2
230,Beta-256346,2
231,Beta-256347,2
232,Beta-321399,3
233,Beta-162119,7
234,Beta-539739,3
235,Beta-539726,2
236,Beta-539727,2
237,Beta-539733,2
238,Beta-539734,2
239,Beta-539738,2
240,Beta-539735,2
241,Beta-539741,2
242,Beta-539749,4
243,Beta-539745,2
244,Beta-539746,2
245,Beta-539747,2
246,Beta-539748,2
247,Beta-539744,2
248,Beta-539732,2
249,Beta-539742,2
250,Beta-539750,2
251,D-AMS-0179,2
252,Beta-539731,2
253,Beta-539740,2
254,VRI-564,7
255,VRI-565,7
256,VRI-566,7
257,VRI-567,7
258,VRI-777,6
259,VRI-778,6
260,VRI-779,6
261,VRI-780,6
262,VRI-798,7
263,VRI-791,6
264,VRI-790,6
265,Gif-9897,5
266,Gif-9898,5
267,Gif-9899,6
268,Gif-9900,5
269,Beta-384060,2
270,D-AMS-015881,2
271,Beta-481939,2
272,Beta-232010,2
273,Beta-232011,2
274,Beta-232012,2
275,Beta-232013,2
276,Beta-232014,2
277,Beta-232015,2
278,Beta-232016,2
279,D-AMS-021461,2
280,D-AMS-021462,2
281,Beta-481938,2
282,Beta-195947,7
283,Beta-195948,7
284,Beta-362104,1
285,Beta-362105,1
286,Beta-362106,1
287,Beta-362110,1
288,Beta-362111,1
289,Beta-362112,1
290,Beta-362113,1
291,Beta-469049,3
292,Beta-469050,3
293,Beta-377347,1
294,Beta-477343,1
295,Beta-477344,1
296,Beta-477345,1
297,Beta-477346,1
298,Beta-477348,1
299,Beta-477349,3
300,Beta-477350,3
301,Beta-477351,3
302,Beta-554542,3
303,CSIC-254,7
304,CSIC-255,7
305,CSIC-256,7
306,CSIC-257,7
307,CSIC-263,6
308,CSIC-262,6
309,CSIC-195,7
310,Beta-206017,5
311,Beta-206018,1
312,Beta-96135,2 *
313,Beta-96136,2
314,Beta-96137,7
315,Beta-96138,6
316,Beta-96139,2
317,Beta-96140,6
318,Beta-96142,6
319,Beta-96144,7
320,Gak-13039,7 *
321,Gak-13040,7 *
322,Gak-13041,7 *
323,Gak-13042,7 *
324,Gak-13043,7 *
325,Gak-13044,7 *
326,Gak-13045,7 *
327,Gak-13046,7 *
328,Gak-13047,7 *
329,Gif-9056,7
330,LGQ-320,6
331,Beta-506560,1
332,Beta-522311,1
333,Beta-523055,1
334,Beta-131030,6
335,Beta-131031,1
336,Beta-131032,7
337,CSIC-143,7
338,CSIC-144,3
339,KN-601,7
340,KN-602,7
341,CSIC-190,3
342,CSIC-191,3
343,CSIC-192,3
344,CSIC-193,3
345,CSIC-194,3
346,CSIC-168,6
347,M-1054,2
348,M-1055,3
349,n.d-77,3
350,n.d-2,3
351,M-1057,5
352,T-195,3
353,T-195A,3
354,T-195B,3
355,Gif-7857,5
356,Gif-7858,5
357,Gif-7859,5
358,Gif-7884,5
359,Gif-7885,5
360,Gif-8041,5
361,Gif-8042,5
362,Gif-8043,5
363,Gif-8044,5
364,Gif-8870,5
365,Gif-8871,5
366,Gif-8872,5
367,Gif-8873,5
368,Gif-8874,5
369,Gif-8875,5
370,Gif-8876,5
371,Gif-8877,5
372,Gif-8878,5
373,Gif-8879,5
374,Gif-8880,5
375,Gif-8881,5
376,Gif-8882,5
377,Gif-8883,5
378,Gif-8884,5
379,Gif-8885,5
380,Gif-8886,5
381,Gif-8887,5
382,Gif-8888,5
383,Gif-8889,5
384,LGQ-518,5
385,Sac-2182,6
386,Sac-2235,6
387,Sac-2236,6
388,Sac-2240,6
389,Sac-2180,6
390,Sac-2181,6
391,Sac-2387,2
392,Sac-2388,2
393,Sac-2389,2
394,Sac-2413,6
395,Sac-2414,6
396,Sac-2415,6
397,Sac-2416,6
398,Sac-2579,2
399,Sac-2587,6
400,Sac-2588,6
401,n.d-76,6
402,Sac-2251,6
403,Sac-2262,7
404,Sac-2594,6
405,Sac-2602,6
406,Sac-2603,6
407,Sac-2604,2
408,Sac-2255,6
409,Sac-2257,2
410,Sac-2253,6
411,Sac-2254,6
412,Sac-2259,2
413,Sac-2249,6
414,Sac-2250,6
415,Sac-2258,7
416,Sac-2179,6
417,Gif-5409,7
418,Gif-9064,6
419,Gif-9068,6
420,Gif-9058,2
421,Gif-9060,2
422,CSIC-546,7
423,Beta-17040,4
424,Beta-365841,6
425,Beta-162118,7
426,Beta-195944,7
427,Beta-195945,7
428,Beta-195946,7
429,Beta-209280,1
430,Beta-209281,1
431,Beta-209282,1
432,Beta-206013,1
433,Beta-206014,4
434,Beta-206015,1
435,Beta-206016,1
436,Beta-206017b,4
437,Beta-206018b,1
438,Beta-206019,7
439,Beta-206020,1
440,Beta-317650,1
441,Beta-317651,1
442,Beta-317654,1
443,Beta-206150,1
444,Beta-206151,1
445,Beta-330595,1
446,Beta-330596,1
447,Beta-330597,1
448,Beta-261242,1
449,Beta-261243,1
450,Beta-206154,1
451,Beta-206155,1
452,Beta-206156,1
453,Beta-173702,1
454,Beta-302327,1
455,Beta-302328,1
456,Beta-302329,1
457,Beta-317655,1
458,Beta-347796,1
459,Beta-173703,1
460,Beta-261244,1
461,Beta-261245,1
462,Beta-298966,1
463,Beta-209278,1
464,Beta-209279,1
465,Beta-362107,1
466,Beta-298967,2
467,Beta-298968,7
468,Beta-362109,1
469,Beta-317652,1
470,Beta-317653,3
471,Beta-358367,1
472,Beta-358369,1
473,Beta-418621,2
474,Beta-418622,2
475,Beta-384696,1
476,Beta-384697,1
477,Beta-384698,1
478,Beta-390473,1
479,Beta-390474,1
480,n.d-46,7
481,Beta-157276,5
482,Beta-157277,4
485,UCIAMS-17608,6
486,UCIAMS-17605,6
487,UCIAMS-17606,6
488,n.d-78,6
489,n.d-79,6
490,n.d-80,6
491,n.d-81,6
492,n.d-82,6
493,UCIAMS-176110,6
494,UCIAMS-176109,6
495,n.d-83,6
496,n.d-84,6
497,n.d-85,6
498,n.d-86,6
499,n.d-87,6
500,n.d-88,6
501,n.d-89,6
502,UCIAMS-17607,6
503,UCIAMS-176111,6
504,UCIAMS-176114,6
505,UCIAMS-176113,6
506,UCIAMS-176112,6
507,n.d-69,7
508,Beta-359511,1
509,Beta-359512,1
510,Beta-359513,1
511,Beta-207216,2
512,CNA-4667.1.1,2
513,CNA-4669.1.1,2
514,UCIAMS-209515,1
515,UCIAMS-209518,1
516,UCIAMS-209499,1
517,UCIAMS-209498,1
518,UCIAMS-209526,1
519,UCIAMS-209619,1
520,UCIAMS-209620,1
521,UCIAMS-209621,1
522,UCIAMS-209622,1
523,UCIAMS-209623,1
524,UCIAMS-209624,1
525,UCIAMS-209630,1
526,UCIAMS-209631,1
527,UCIAMS-209527,1
528,UCIAMS-209522,1
529,UCIAMS-209502,1
530,UCIAMS-209616,1
531,UCIAMS-209617,1
532,UCIAMS-209618,1
533,UCIAMS-209629,1
534,UCIAMS-209513,1
535,UCIAMS-209521,1
536,UCIAMS-209519,1
537,UCIAMS-209625,1
538,UCIAMS-209626,1
539,UCIAMS-209627,1
540,UCIAMS-209628,1
541,UCIAMS-209528,1
542,UCIAMS-209516,1
543,UCIAMS-209510,1
544,UCIAMS-209504,1
545,UCIAMS-209637,1
546,UCIAMS-209523,1
547,UCIAMS-209635,1
548,UCIAMS-209503,1
549,UCIAMS-209613,1
550,UCIAMS-209614,1
551,UCIAMS-209615,1
552,UCIAMS-209517,1
553,UCIAMS-209524,1
554,UCIAMS-209514,1
555,UCIAMS-209500,1
556,UCIAMS-209501,1
557,UCIAMS-209509,1
558,UCIAMS-209508,1
559,UCIAMS-209511,1
560,UCIAMS-209512,1
561,UCIAMS-209506,1
562,UCIAMS-209505,1
563,UCIAMS-209507,1
564,UCIAMS-209520,1
565,UCIAMS-209515,1
566,Beta-261235,2
567,Beta-261236,2
568,Beta-261237,2
569,Beta-261238,2
570,Beta-261239,2
571,Beta-261240,2
572,Beta-261241,2
573,D-AMS-015885,2
574,D-AMS-015886,2
575,Beta-221673,2
576,Beta-221674,2
577,Beta-302332,2
578,Beta-248144,2
579,Beta-248145,2
580,Beta-248146,2
581,Beta-248147,2
582,Beta-248148,2
583,Beta-248149,2
584,Beta-302330,2
585,n.d-72,2
586,Beta-302334,2
587,Beta-302333,2
588,Beta-302335,2
589,Beta-302336,2
590,Beta-272293,2
591,Beta-272294,2
592,Beta-361285,2
593,Beta-370948,2
594,GifA-95626,7
595,GrN-13661,7
596,GrN-13662,7
597,GrN-13663,7
598,GrN-13664,7
599,GrN-13665,7
600,Ly-7217,7
601,Ua-10224,2
602,Ua-10225,2
603,Beta-128885,6
604,Beta-128884,7
605,Beta-128883,2
606,Beta-173704,4
607,Beta-539725,2
608,Beta-468992,2
609,Beta-565459,2
610,Beta-565460,2
611,Beta-565461,2
612,Beta-565462,2
613,Beta-565464,2
614,Beta-565474,2
615,Beta-565476,2
616,Beta-539728,2
617,Beta-539729,2
618,Beta-539730,2
619,Beta-565463,2
620,D-AMS-032110,2
621,Beta-565467,2
622,D-AMS-032108,2
623,D-AMS-032109,2
624,D-AMS-032119,2
625,D-AMS-032120,2
626,D-AMS-032122,2
627,Beta-565472,2
628,Beta-565473,2
629,Beta-565470,2
630,Beta-565471,2
631,Beta-565480,2
632,Beta-531337,2
633,Beta-531338,2
634,Beta-531339,2
635,Beta-531340,2
636,Beta-531341,2
637,Beta-531342,2
638,Beta-565466,2
639,D-AMS-032112,2
640,Beta-564368,2
641,Beta-565482,2
642,Beta-565469,2
643,Beta-510717,2
644,SacA-510718,2
645,Beta-468995,2
646,Beta-510716,2
647,Beta-510720,2
648,D-AMS-027470,2
649,Beta-386831,2
650,Beta-468985,2
651,Beta-468986,2
652,Beta-468987,2
653,Beta-468990,2
654,Beta-468991,2
655,1A-1066,2
656,1A-1073,3
657,1A-1067,2
658,1A-1068,2
659,SacA-500021,1
660,SacA-500023,7*
661,SacA-500024,7*
662,1A-1070,2
663,1A-1071,2
664,1A-1072,2
665,SacA-500013,2
666,SacA-500014,2
667,SacA-500015,2
668,D-AMS-021763,2
669,D-AMS-021764,2
670,D-AMS-021765,2
671,D-AMS-021766,2
672,Beta-392429,2
673,Beta-510711,2
674,Beta-510712,2
675,Beta-510713,2
676,Beta-391059,2
677,Beta-468989,2
678,Beta-468992,2
679,Gak-12406,7 *
680,Gak-12407,7 *
681,Gak-13328,7 *
682,Gak-13329,3 *
683,Gak-9592,7 *
684,Beta-510719,2
685,Beta-510714,2
686,Beta-510715,4
687,SacA-50008,2
688,SacA-50009,2
689,SacA-50010,2
690,SacA-50011,2
691,SacA-50012,2
692,Beta-347797,2
693,Beta-565457,2
694,Beta-565458,2
695,Beta-131033,7
696,Beta-131034,7
697,Beta-383168,4
698,Beta-443311,1
699,Beta-523954,1
700,Gif-11813,5
701,Gif-11814,5
702,n.d-67,2
703,n.d-68,2
704,Beta-377678,2
705,n.d-70,7
706,n.d-71,7
707,Beta-297168,2
708,Beta-297170,2
709,Beta-297171,2
710,Beta-297172,2
711,Beta-384699,3
712,Beta-384700,2
713,Beta-365839,2
714,Beta-365840,2
715,Beta-392182,7
716,n.d-73,4
717,Beta-343710,1
718,Beta-344851,1
719,Beta-344852,1
720,Beta-392181,4
721,n.d-1,4
722,Beta-272293,2
723,Beta-272294,2
724,Beta-272295,2
725,n.d-66,3
752,Beta-477366,1
753,Beta-443591,2
754,Beta-443590,2
755,n.d-3,6
756,n.d-4,6
757,n.d-5,6
758,n.d-6,6
759,n.d-7,6
760,n.d-8,6
761,n.d-9,6
762,n.d-10,6
763,n.d-11,6
764,n.d-12,6
765,n.d-14,6
766,n.d-15,6
767,n.d-16,6
768,n.d-17,6
769,n.d-18,6
770,n.d-19,6
771,n.d-20,6
772,n.d-21,6
773,n.d-22,6
774,n.d-23,6
775,n.d-25,6
776,n.d-26,6
777,n.d-27,6
778,n.d-28,6
779,n.d-29,6
780,n.d-30,6
781,n.d-31,6
782,n.d-32,6
783,n.d-33,6
784,n.d-34,6
785,n.d-36,6
786,n.d-37,6
787,n.d-38,6
788,n.d-39,6
789,n.d-40,6
790,n.d-41,6
791,n.d-42,6
792,n.d-43,6
793,n.d-44,6
794,n.d-45,6
795,n.d-47,6
796,n.d-48,6
797,n.d-49,6
798,n.d-50,6
799,n.d-51,6
800,n.d-52,6
801,n.d-53,6
802,n.d-54,6
803,n.d-55,6
804,n.d-56,6
805,n.d-58,6
806,n.d-59,6
807,n.d-60,6
808,n.d-61,6
809,n.d-62,6
810,n.d-63,6
811,n.d-64,6
812,n.d-65,6
726,D-AMS-027469,1
727,D-AMS015873,2
728,D-AMS015874,2
729,D-AMS015875,2
730,D-AMS015876,2
731,Beta-618599,2
732,Beta-618601,2
733,Beta-618602,2
734,Beta-618603,2
735,Beta-618604,2
736,Beta-618609,2
737,Beta-618598,2
738,GaK-8054,7 *
739,GaK-8053,7 *
742,Beta-382867,2
743,Beta-382868,2
744,Beta-382865,2
745,GrN-13753,7
746,GX-xxx,2
747,Beta-566018,7
748,Beta-566019,7
749,Beta-566020,7
750,Beta-566021,7
751,Beta-566022,7
